
1;brenda;teacher;2024-12-10 07-12-10;Authentification;Réussite;Utilisateur;127.0.0.1;inconue;Nouvelle session initialisée;EOF;
1;brenda;teacher;2024-12-10 07-12-16;Année active;Reussite;Année;127.0.0.1;inconue;Année Scolaire 2024 / 2025,2024-09-29,2025-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;brenda;teacher;2024-12-10 07-12-47;Année active;Reussite;Année;127.0.0.1;inconue;Année Scolaire 2024 / 2025,2024-09-29,2025-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;brenda;teacher;2024-12-10 07-12-10;Selection;Echec;Classe;127.0.0.1;inconue;Opération reussir;EOF;
1;brenda;teacher;2024-12-10 07-12-28;Selection;Echec;Classe;127.0.0.1;inconue;Opération reussir;EOF;
1;brenda;teacher;2024-12-10 07-12-30;insertion;Echec;Trimestre;127.0.0.1;inconue;Echec de validation ;EOF;
1;brenda;teacher;2024-12-10 08-12-25;Année active;Reussite;Année;127.0.0.1;inconue;Année Scolaire 2024 / 2025,2024-09-29,2025-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;brenda;teacher;2024-12-10 08-12-42;Année active;Reussite;Année;127.0.0.1;inconue;Année Scolaire 2024 / 2025,2024-09-29,2025-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;brenda;teacher;2024-12-10 08-12-50;Selection;Echec;Classe;127.0.0.1;inconue;Opération reussir;EOF;
1;brenda;teacher;2024-12-10 08-12-53;insertion;Echec;Trimestre;127.0.0.1;inconue;Echec de validation ;EOF;
1;brenda;teacher;2024-12-10 09-12-39;Année active;Reussite;Année;127.0.0.1;inconue;Année Scolaire 2024 / 2025,2024-09-29,2025-07-02,0,actif,2023-09-29 14:09:44,2023-09-29 14:09:44;EOF;
1;brenda;teacher;2024-12-10 09-12-03;Selection;Echec;Classe;127.0.0.1;inconue;Opération reussir;EOF;
1;brenda;teacher;2024-12-10 09-12-08;Selection;Echec;Classe;127.0.0.1;inconue;Opération reussir;EOF;
1;brenda;teacher;2024-12-10 09-12-09;insertion;Echec;Trimestre;127.0.0.1;inconue;Echec de validation ;EOF;
